bus_id,bus0,nonslack0,type,is_slack,is_pv,is_pq,base_kv,vm_init,va_init_rad,va_init_deg,vmax,vmin,pd_mw,qd_mvar,gs,bs,p_spec0_pu,q_spec0_pu
1,0,0,2,0,1,0,138.000000000000000,0.955000000000000,0.186226631187795,10.670000000000000,1.060000000000000,0.940000000000000,51.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,-0.510000000000000,-0.270000000000000
2,1,1,1,0,0,1,138.000000000000000,0.971000000000000,0.195825942073764,11.220000000000001,1.060000000000000,0.940000000000000,20.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,-0.200000000000000,-0.090000000000000
3,2,2,1,0,0,1,138.000000000000000,0.968000000000000,0.201760061530544,11.560000000000000,1.060000000000000,0.940000000000000,39.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,-0.390000000000000,-0.100000000000000
4,3,3,2,0,1,0,138.000000000000000,0.998000000000000,0.266686309704734,15.279999999999999,1.060000000000000,0.940000000000000,39.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,-0.390000000000000,-0.120000000000000
5,4,4,1,0,0,1,138.000000000000000,1.002000000000000,0.274540291338708,15.730000000000000,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-40.000000000000000,-0.000000000000000,-0.000000000000000
6,5,5,2,0,1,0,138.000000000000000,0.990000000000000,0.226892802759263,13.000000000000000,1.060000000000000,0.940000000000000,52.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,-0.520000000000000,-0.220000000000000
7,6,6,1,0,0,1,138.000000000000000,0.989000000000000,0.219213354050488,12.560000000000000,1.060000000000000,0.940000000000000,19.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,-0.190000000000000,-0.020000000000000
8,7,7,2,0,1,0,345.000000000000000,1.015000000000000,0.362504885639222,20.770000000000000,1.060000000000000,0.940000000000000,28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.280000000000000,-0.000000000000000
9,8,8,1,0,0,1,345.000000000000000,1.043000000000000,0.489041256408811,28.020000000000000,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.000000000000000,-0.000000000000000
10,9,9,2,0,1,0,345.000000000000000,1.050000000000000,0.621511746635181,35.609999999999999,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.500000000000000,-0.000000000000000
11,10,10,1,0,0,1,138.000000000000000,0.985000000000000,0.222005880853679,12.720000000000001,1.060000000000000,0.940000000000000,70.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,-0.700000000000000,-0.230000000000000
12,11,11,2,0,1,0,138.000000000000000,0.990000000000000,0.212930168743308,12.199999999999999,1.060000000000000,0.940000000000000,47.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,0.380000000000000,-0.100000000000000
13,12,12,1,0,0,1,138.000000000000000,0.968000000000000,0.198094870101356,11.350000000000000,1.060000000000000,0.940000000000000,34.000000000000000,16.000000000000000,0.000000000000000,0.000000000000000,-0.340000000000000,-0.160000000000000
14,13,13,1,0,0,1,138.000000000000000,0.984000000000000,0.200712863979348,11.500000000000000,1.060000000000000,0.940000000000000,14.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,-0.140000000000000,-0.010000000000000
15,14,14,2,0,1,0,138.000000000000000,0.970000000000000,0.196000474998963,11.230000000000000,1.060000000000000,0.940000000000000,90.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,-0.900000000000000,-0.300000000000000
16,15,15,1,0,0,1,138.000000000000000,0.984000000000000,0.207868713912525,11.910000000000000,1.060000000000000,0.940000000000000,25.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,-0.250000000000000,-0.100000000000000
17,16,16,1,0,0,1,138.000000000000000,0.995000000000000,0.239808239224021,13.740000000000000,1.060000000000000,0.940000000000000,11.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,-0.110000000000000,-0.030000000000000
18,17,17,2,0,1,0,138.000000000000000,0.973000000000000,0.201236462754946,11.529999999999999,1.060000000000000,0.940000000000000,60.000000000000000,34.000000000000000,0.000000000000000,0.000000000000000,-0.600000000000000,-0.340000000000000
19,18,18,2,0,1,0,138.000000000000000,0.962000000000000,0.192858882345373,11.050000000000001,1.060000000000000,0.940000000000000,45.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,-0.450000000000000,-0.250000000000000
20,19,19,1,0,0,1,138.000000000000000,0.958000000000000,0.208217779762923,11.930000000000000,1.060000000000000,0.940000000000000,18.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,-0.180000000000000,-0.030000000000000
21,20,20,1,0,0,1,138.000000000000000,0.959000000000000,0.235968514869633,13.520000000000000,1.060000000000000,0.940000000000000,14.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,-0.140000000000000,-0.080000000000000
22,21,21,1,0,0,1,138.000000000000000,0.970000000000000,0.280648943720688,16.079999999999998,1.060000000000000,0.940000000000000,10.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,-0.100000000000000,-0.050000000000000
23,22,22,1,0,0,1,138.000000000000000,1.000000000000000,0.366519142918809,21.000000000000000,1.060000000000000,0.940000000000000,7.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,-0.070000000000000,-0.030000000000000
24,23,23,2,0,1,0,138.000000000000000,0.992000000000000,0.364599280741615,20.890000000000001,1.060000000000000,0.940000000000000,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.130000000000000,-0.000000000000000
25,24,24,2,0,1,0,138.000000000000000,1.050000000000000,0.487470460082016,27.930000000000000,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.200000000000000,-0.000000000000000
26,25,25,2,0,1,0,345.000000000000000,1.015000000000000,0.518537320767515,29.710000000000001,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.140000000000000,-0.000000000000000
27,26,26,2,0,1,0,138.000000000000000,0.968000000000000,0.267908040181130,15.350000000000000,1.060000000000000,0.940000000000000,71.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,-0.710000000000000,-0.130000000000000
28,27,27,1,0,0,1,138.000000000000000,0.962000000000000,0.237713844121628,13.619999999999999,1.060000000000000,0.940000000000000,17.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,-0.170000000000000,-0.070000000000000
29,28,28,1,0,0,1,138.000000000000000,0.963000000000000,0.220435084526884,12.630000000000001,1.060000000000000,0.940000000000000,24.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,-0.240000000000000,-0.040000000000000
30,29,29,1,0,0,1,345.000000000000000,0.968000000000000,0.327947366449734,18.789999999999999,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.000000000000000,-0.000000000000000
31,30,30,2,0,1,0,138.000000000000000,0.967000000000000,0.222529479629277,12.750000000000000,1.060000000000000,0.940000000000000,43.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,-0.360000000000000,-0.270000000000000
32,31,31,2,0,1,0,138.000000000000000,0.963000000000000,0.258308729295161,14.800000000000001,1.060000000000000,0.940000000000000,59.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,-0.590000000000000,-0.230000000000000
33,32,32,1,0,0,1,138.000000000000000,0.972000000000000,0.185528499486997,10.630000000000001,1.060000000000000,0.940000000000000,23.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,-0.230000000000000,-0.090000000000000
34,33,33,2,0,1,0,138.000000000000000,0.984000000000000,0.197222205475359,11.300000000000001,1.060000000000000,0.940000000000000,59.000000000000000,26.000000000000000,0.000000000000000,14.000000000000000,-0.590000000000000,-0.260000000000000
35,34,34,1,0,0,1,138.000000000000000,0.981000000000000,0.189717289691784,10.869999999999999,1.060000000000000,0.940000000000000,33.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,-0.330000000000000,-0.090000000000000
36,35,35,2,0,1,0,138.000000000000000,0.980000000000000,0.189717289691784,10.869999999999999,1.060000000000000,0.940000000000000,31.000000000000000,17.000000000000000,0.000000000000000,0.000000000000000,-0.310000000000000,-0.170000000000000
37,36,36,1,0,0,1,138.000000000000000,0.992000000000000,0.205425252959733,11.770000000000000,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-25.000000000000000,-0.000000000000000,-0.000000000000000
38,37,37,1,0,0,1,345.000000000000000,0.962000000000000,0.295135176512241,16.910000000000000,1.060000000000000,0.940000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.000000000000000,-0.000000000000000
39,38,38,1,0,0,1,138.000000000000000,0.970000000000000,0.146782190092723,8.410000000000000,1.060000000000000,0.940000000000000,27.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,-0.270000000000000,-0.110000000000000
40,39,39,2,0,1,0,138.000000000000000,0.970000000000000,0.128281700021583,7.350000000000000,1.060000000000000,0.940000000000000,66.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,-0.660000000000000,-0.230000000000000
41,40,40,1,0,0,1,138.000000000000000,0.967000000000000,0.120776784238008,6.920000000000000,1.060000000000000,0.940000000000000,37.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,-0.370000000000000,-0.100000000000000
42,41,41,2,0,1,0,138.000000000000000,0.985000000000000,0.148876585195116,8.529999999999999,1.060000000000000,0.940000000000000,96.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,-0.960000000000000,-0.230000000000000
43,42,42,1,0,0,1,138.000000000000000,0.978000000000000,0.196873139624960,11.279999999999999,1.060000000000000,0.940000000000000,18.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,-0.180000000000000,-0.070000000000000
44,43,43,1,0,0,1,138.000000000000000,0.985000000000000,0.241204502625616,13.820000000000000,1.060000000000000,0.940000000000000,16.000000000000000,8.000000000000000,0.000000000000000,10.000000000000000,-0.160000000000000,-0.080000000000000
45,44,44,1,0,0,1,138.000000000000000,0.987000000000000,0.273493093787511,15.670000000000000,1.060000000000000,0.940000000000000,53.000000000000000,22.000000000000000,0.000000000000000,10.000000000000000,-0.530000000000000,-0.220000000000000
46,45,45,2,0,1,0,138.000000000000000,1.005000000000000,0.322711378693751,18.489999999999998,1.060000000000000,0.940000000000000,28.000000000000000,10.000000000000000,0.000000000000000,10.000000000000000,-0.090000000000000,-0.100000000000000
47,46,46,1,0,0,1,138.000000000000000,1.017000000000000,0.361806753938425,20.730000000000000,1.060000000000000,0.940000000000000,34.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.340000000000000,-0.000000000000000
48,47,47,1,0,0,1,138.000000000000000,1.021000000000000,0.347844119922470,19.930000000000000,1.060000000000000,0.940000000000000,20.000000000000000,11.000000000000000,0.000000000000000,15.000000000000000,-0.200000000000000,-0.110000000000000
49,48,48,2,0,1,0,138.000000000000000,1.025000000000000,0.365471945367613,20.940000000000001,1.060000000000000,0.940000000000000,87.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,1.170000000000000,-0.300000000000000
50,49,49,1,0,0,1,138.000000000000000,1.001000000000000,0.329867228626928,18.899999999999999,1.060000000000000,0.940000000000000,17.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,-0.170000000000000,-0.040000000000000
