from_bus,to_bus,from_bus0,to_bus0,g,b,is_diagonal
1,2,0,1,-4.999131600798035,15.263086523179553,0
1,5,0,4,-1.025897454970189,4.234983682334831,0
1,1,0,0,6.025029055768224,-19.447070205514382,1
2,1,1,0,-4.999131600798035,15.263086523179553,0
2,3,1,2,-1.135019192307396,4.781863151757718,0
2,4,1,3,-1.686033150614943,5.115838325872083,0
2,5,1,4,-1.701139667094405,5.193927397969713,0
2,2,1,1,9.521323610814777,-30.272115398779068,1
3,2,2,1,-1.135019192307396,4.781863151757718,0
3,4,2,3,-1.985975709925561,5.068816977593920,0
3,3,2,2,3.120994902232956,-9.822380129351640,1
4,2,3,1,-1.686033150614943,5.115838325872083,0
4,3,3,2,-1.985975709925561,5.068816977593920,0
4,5,3,4,-6.840980661495671,21.578553981691588,0
4,7,3,6,0.000000000000000,4.889512660317341,0
4,9,3,8,0.000000000000000,1.855499557815900,0
4,4,3,3,10.512989522036175,-38.654171207607796,1
5,1,4,0,-1.025897454970189,4.234983682334831,0
5,2,4,1,-1.701139667094405,5.193927397969713,0
5,4,4,3,-6.840980661495671,21.578553981691588,0
5,6,4,5,0.000000000000000,4.257445335253384,0
5,5,4,4,9.568017783560265,-35.533639456044824,1
6,5,5,4,0.000000000000000,4.257445335253384,0
6,11,5,10,-1.955028563177261,4.094074344240441,0
6,12,5,11,-1.525967440450974,3.175963965029400,0
6,13,5,12,-3.098927403837988,6.102755448193116,0
6,6,5,5,6.579923407466223,-17.340732809919110,1
7,4,6,3,0.000000000000000,4.889512660317341,0
7,8,6,7,0.000000000000000,5.676979846721544,0
7,9,6,8,0.000000000000000,9.090082719752751,0
7,7,6,6,0.000000000000000,-19.549005948264654,1
8,7,7,6,0.000000000000000,5.676979846721544,0
8,8,7,7,0.000000000000000,-5.676979846721544,1
9,4,8,3,0.000000000000000,1.855499557815900,0
9,7,8,6,0.000000000000000,9.090082719752751,0
9,10,8,9,-3.902049552447428,10.365394127060915,0
9,14,8,13,-1.424005487019931,3.029050456930603,0
9,9,8,8,5.326055039467358,-24.092506375267874,1
10,9,9,8,-3.902049552447428,10.365394127060915,0
10,11,9,10,-1.880884753700400,4.402943749460521,0
10,10,9,9,5.782934306147827,-14.768337876521436,1
11,6,10,5,-1.955028563177261,4.094074344240441,0
11,10,10,9,-1.880884753700400,4.402943749460521,0
11,11,10,10,3.835913316877660,-8.497018093700962,1
12,6,11,5,-1.525967440450974,3.175963965029400,0
12,13,11,12,-2.489024586821919,2.251974626172212,0
12,12,11,11,4.014992027272893,-5.427938591201612,1
13,6,12,5,-3.098927403837988,6.102755448193116,0
13,12,12,11,-2.489024586821919,2.251974626172212,0
13,14,12,13,-1.136994157806327,2.314963475105352,0
13,13,12,12,6.724946148466233,-10.669693549470679,1
14,9,13,8,-1.424005487019931,3.029050456930603,0
14,13,13,12,-1.136994157806327,2.314963475105352,0
14,14,13,13,2.560999644826258,-5.344013932035955,1
