sample_index,mismatch
1,2.089946031570e+00
2,5.905699729919e+00
3,2.072964668274e+00
4,2.384377479553e+00
5,3.589021921158e+00
6,2.355312108994e+00
7,4.463316440582e+00
8,2.424847841263e+00
9,2.759366989136e+00
10,2.618396997452e+00
11,1.700987458229e+00
12,6.991257324219e+02
13,4.476924419403e+00
14,2.491349458694e+00
15,5.118486404419e+00
16,2.230736017227e+00
17,4.188129425049e+00
18,9.159101562500e+02
19,1.141778850555e+01
20,9.846387863159e+00
21,8.012550659180e+02
22,2.217069625854e+00
23,1.454074573517e+01
24,6.293457984924e+00
25,2.602159500122e+00
26,2.343136548996e+00
27,1.484096984863e+02
28,2.148582077026e+01
29,1.934212327003e+00
30,2.552150964737e+00
31,7.154584960938e+02
32,6.402296142578e+02
33,5.805064201355e+00
34,4.117284774780e+00
35,1.156384468079e+01
36,2.114301443100e+00
37,2.391032457352e+00
38,1.989796757698e+00
39,6.338605403900e+00
40,2.405023097992e+00
41,2.389363050461e+00
42,7.932817382812e+02
43,6.435851097107e+00
44,2.227854728699e+00
45,4.722747192383e+02
46,2.615584135056e+00
47,2.512806653976e+00
48,4.028287410736e+00
49,2.288590908051e+00
50,2.885000000000e+02
51,2.358714103699e+00
52,2.240218639374e+00
53,1.687990188599e+00
54,3.108146057129e+02
55,6.332368373871e+00
56,7.035228881836e+02
57,1.010606445312e+03
58,2.183758392334e+02
59,3.141689300537e+01
60,7.881080150604e+00
61,1.224777755737e+02
62,3.960756225586e+02
63,5.337540283203e+02
64,8.096853256226e+00
65,9.364398956299e+00
66,3.362243041992e+02
67,1.035355468750e+03
68,1.326286499023e+03
69,1.096757324219e+03
70,4.433459854126e+01
71,7.753213500977e+01
72,1.800724029541e+00
73,3.561544418335e+01
74,4.521600952148e+02
75,4.326643066406e+02
76,7.545649528503e+00
77,3.686339569092e+01
78,7.901746215820e+02
79,5.475995063782e+00
80,1.017223571777e+03
81,4.018779602051e+02
82,5.382969856262e+00
83,4.572301330566e+02
84,7.924785156250e+02
85,1.325073242188e+03
86,2.632192373276e+00
87,9.630211791992e+02
88,1.945793212891e+03
89,6.859854125977e+02
90,8.015145874023e+02
91,2.124621276855e+02
92,1.344398803711e+03
93,4.699580688477e+02
94,3.132804393768e+00
95,3.679333877563e+01
96,7.896839599609e+02
97,1.305557632446e+01
98,4.434594726562e+02
99,6.272760009766e+02
100,1.433273620605e+02
