sample_index,mismatch
1,3.464477777015e-04
2,3.460645675659e-04
3,2.617239952087e-04
4,6.549760699272e-03
5,5.123242735863e-04
6,1.075554639101e-03
7,5.120113492012e-04
8,3.838986158371e-04
9,1.480359584093e-02
10,6.387792527676e-04
11,1.019071787596e-03
12,1.716546714306e-02
13,1.442436128855e-02
14,4.346622154117e-03
15,4.463344812393e-04
16,2.493366599083e-03
17,7.424913346767e-04
18,9.857341647148e-04
19,2.836760133505e-03
20,4.620019346476e-03
21,3.803446888924e-04
22,2.748221158981e-04
23,1.024156808853e-03
24,7.101947558112e-04
25,3.787851333618e-02
26,2.067915908992e-02
27,2.038864791393e-02
28,1.032069325447e-03
29,2.909190952778e-04
30,3.014481812716e-02
31,1.490439637564e-03
32,1.931205391884e-03
33,2.311319112778e-04
34,3.398630023003e-02
35,4.022651910782e-02
36,7.666014134884e-04
37,2.100120764226e-04
38,1.029538456351e-03
39,2.139963209629e-03
40,8.746955427341e-04
41,1.945298723876e-02
42,6.935894489288e-04
43,4.287574067712e-02
44,7.811337709427e-04
45,1.408737897873e-02
46,3.253370523453e-04
47,2.057355642319e-02
48,6.769485771656e-04
49,7.539987564087e-04
50,5.394071340561e-04
51,3.261419385672e-02
52,6.110668182373e-04
53,5.314871668816e-04
54,1.801753044128e-02
55,1.067771925591e-03
56,1.286387443542e-03
57,7.043778896332e-04
58,3.513917326927e-04
59,7.260918617249e-03
60,3.685832023621e-03
61,1.252219080925e-03
62,3.058463335037e-04
63,2.012669108808e-02
64,9.335391223431e-04
65,3.964900970459e-04
66,1.533381640911e-03
67,1.152053475380e-03
68,4.606954753399e-04
69,2.396404743195e-04
70,1.284874975681e-02
71,7.135570049286e-04
72,3.508001565933e-03
73,3.374740481377e-04
74,4.781424999237e-03
75,5.589925567620e-04
76,4.841610789299e-04
77,3.699064254761e-04
78,2.303040027618e-02
79,2.205342054367e-03
80,1.612924784422e-02
81,2.469711005688e-03
82,6.100945174694e-04
83,1.694783568382e-03
84,2.028502523899e-03
85,1.337468624115e-03
86,3.357172012329e-02
87,1.304822415113e-02
88,2.325287461281e-02
89,3.686845302582e-03
90,1.824647188187e-03
91,5.766153335571e-04
92,2.313755452633e-03
93,2.199273556471e-02
94,9.603574872017e-04
95,6.381720304489e-04
96,3.572657704353e-03
97,2.831779420376e-04
98,1.399987936020e-02
99,3.540837438777e-03
100,3.326669335365e-03
