sample_index,mismatch
1,5.140267312527e-04
2,4.536807537079e-04
3,5.257129669189e-04
4,5.540400743484e-04
5,1.222848892212e-03
6,4.921257495880e-04
7,7.553100585938e-04
8,6.806850433350e-04
9,5.183517932892e-04
10,4.348084330559e-04
11,5.812719464302e-04
12,8.258819580078e-04
13,8.443593978882e-04
14,7.014572620392e-04
15,6.218105554581e-04
16,6.732940673828e-04
17,3.947839140892e-04
18,6.501674652100e-04
19,5.636215209961e-04
20,6.694160401821e-04
21,7.543303072453e-04
22,5.756020545959e-04
23,9.511709213257e-04
24,4.998221993446e-04
25,8.724331855774e-04
26,5.078315734863e-04
27,6.775744259357e-04
28,6.065182387829e-04
29,5.741454660892e-04
30,6.399005651474e-04
31,8.912086486816e-04
32,6.494522094727e-04
33,9.040683507919e-04
34,4.899501800537e-04
35,5.798339843750e-04
36,6.332695484161e-04
37,9.506940841675e-04
38,5.407184362411e-04
39,5.598105490208e-04
40,9.862184524536e-04
41,7.247924804688e-04
42,6.320551037788e-04
43,8.919537067413e-04
44,8.614063262939e-04
45,8.587837219238e-04
46,7.042884826660e-04
47,5.879402160645e-04
48,6.130337715149e-04
49,7.247738540173e-04
50,7.029809057713e-04
51,5.922168493271e-04
52,7.033273577690e-04
53,4.850365221500e-04
54,7.877424359322e-04
55,1.281723380089e-03
56,4.721224308014e-03
57,2.517702057958e-03
58,8.506774902344e-04
59,7.731317309663e-04
60,5.386471748352e-04
61,1.185894012451e-03
62,7.386282086372e-04
63,7.019117474556e-04
64,1.014560693875e-03
65,1.882605254650e-03
66,7.915347814560e-04
67,4.865649342537e-02
68,1.104116439819e-03
69,6.284862756729e-04
70,1.008987426758e-03
71,8.049160242081e-04
72,3.757476806641e-04
73,8.077546954155e-04
74,6.275326013565e-04
75,5.969703197479e-04
76,5.793571472168e-04
77,7.815062999725e-04
78,8.011274039745e-04
79,3.794580698013e-04
80,4.988312721252e-04
81,1.220801379532e-03
82,1.302460208535e-03
83,1.615702873096e-03
84,7.230909541249e-04
85,6.828308105469e-04
86,7.552504539490e-04
87,9.984970092773e-04
88,7.553137838840e-04
89,1.141905784607e-03
90,8.306540548801e-04
91,8.696317672729e-04
92,7.541477680206e-04
93,1.705109840259e-03
94,3.661662340164e-04
95,7.831454277039e-04
96,1.136779785156e-03
97,9.918515570462e-04
98,8.428096771240e-04
99,8.278526365757e-04
100,8.690319955349e-04
