sample_index,mismatch
1,2.306699752808e-04
2,2.161860466003e-04
3,5.753040313721e-04
4,2.794265747070e-04
5,8.127242326736e-04
6,2.040863037109e-04
7,2.770274877548e-04
8,4.045963287354e-04
9,1.683232840151e-04
10,1.232624053955e-04
11,3.517887089401e-04
12,1.354170963168e-04
13,7.019937038422e-04
14,1.116991043091e-04
15,4.948377609253e-04
16,3.031790256500e-04
17,2.088546752930e-04
18,1.051723957062e-04
19,3.685951232910e-04
20,3.874897956848e-04
21,1.054853200912e-04
22,3.175437450409e-04
23,6.694793701172e-04
24,3.401041030884e-04
25,4.052966833115e-04
26,1.502931118011e-04
27,4.210257902741e-04
28,7.143020629883e-04
29,4.015539307147e-04
30,3.447667695582e-04
31,7.772445678711e-04
32,3.568530082703e-04
33,4.090964794159e-04
34,2.166926860809e-04
35,2.177953720093e-04
36,5.979239940643e-04
37,8.521042764187e-04
38,4.210472106934e-04
39,1.169890165329e-04
40,8.020401000977e-04
41,2.495050430298e-04
42,4.174560308456e-04
43,5.283057689667e-04
44,4.391521215439e-04
45,5.819499492645e-04
46,4.673793446273e-04
47,9.897351264954e-05
48,6.812857463956e-04
49,4.205107688904e-04
50,2.370949368924e-04
51,2.605856861919e-04
52,1.453757286072e-04
53,4.302710294724e-04
54,4.040002822876e-04
55,7.571280002594e-04
56,1.125931739807e-04
57,5.811157170683e-04
58,1.491608563811e-04
59,6.568580865860e-04
60,4.005935043097e-04
61,1.049518585205e-03
62,1.071691513062e-04
63,2.794265747070e-04
64,5.080550909042e-04
65,5.378723144531e-04
66,5.509182810783e-04
67,9.417510591447e-05
68,5.189180374146e-04
69,5.202293395996e-04
70,1.783370971680e-04
71,3.127800300717e-04
72,2.188626676798e-04
73,4.102885723114e-04
74,4.253685474396e-04
75,3.733709454536e-04
76,1.323819160461e-04
77,4.467815160751e-04
78,1.157522201538e-04
79,3.897529095411e-04
80,1.181066036224e-04
81,6.625801324844e-04
82,6.927102804184e-04
83,1.168265938759e-03
84,2.687871456146e-04
85,2.909603063017e-04
86,5.540698766708e-04
87,9.414255619049e-04
88,4.889965057373e-04
89,6.542056798935e-04
90,1.367332879454e-04
91,3.950595855713e-04
92,2.124309539795e-04
93,1.057490706444e-03
94,1.429319381714e-04
95,6.141662597656e-04
96,1.478195190430e-04
97,2.925992012024e-04
98,3.422945737839e-04
99,5.073249340057e-04
100,6.570816040039e-04
