sample_index,mismatch
1,4.974836483598e-02
2,5.587241053581e-02
3,4.339668154716e-02
4,4.463592171669e-02
5,4.771982133389e-02
6,3.595219552517e-02
7,5.165526270866e-02
8,5.612599849701e-02
9,5.088285729289e-02
10,4.907542467117e-02
11,4.730078577995e-02
12,5.296275019646e-02
13,6.481932848692e-02
14,5.076631158590e-02
15,6.543121486902e-02
16,5.938917398453e-02
17,5.320015549660e-02
18,5.870655179024e-02
19,4.468220472336e-02
20,7.121950387955e-02
21,6.152243912220e-02
22,5.291658267379e-02
23,5.172502994537e-02
24,6.562572717667e-02
25,7.071489095688e-02
26,5.573266744614e-02
27,7.629407942295e-02
28,5.336434394121e-02
29,6.615070998669e-02
30,5.799490213394e-02
31,7.794687151909e-02
32,5.734890699387e-02
33,5.195575952530e-02
34,4.391228780150e-02
35,4.651270806789e-02
36,6.878755986691e-02
37,7.863941788673e-02
38,6.469530612230e-02
39,4.480811953545e-02
40,6.480318307877e-02
41,6.659344583750e-02
42,4.867339134216e-02
43,4.657554626465e-02
44,4.016098380089e-02
45,6.729364395142e-02
46,6.190627813339e-02
47,6.316709518433e-02
48,5.394786596298e-02
49,5.960248410702e-02
50,6.157507374883e-02
51,5.026575922966e-02
52,4.471536725760e-02
53,4.591931402683e-02
54,5.561223626137e-02
55,7.373237609863e-02
56,8.916521072388e-02
57,4.898189753294e-02
58,8.880424499512e-02
59,7.269098609686e-02
60,8.008700609207e-02
61,1.568783372641e-01
62,7.313279807568e-02
63,5.817002058029e-02
64,9.769868105650e-02
65,7.923513650894e-02
66,6.151217967272e-02
67,6.688877940178e-02
68,7.143516838551e-02
69,6.695759296417e-02
70,7.546006888151e-02
71,6.975737214088e-02
72,8.484837412834e-02
73,5.126723647118e-02
74,7.549471408129e-02
75,7.945074141026e-02
76,8.075980097055e-02
77,6.425851583481e-02
78,1.100883409381e-01
79,1.147155463696e-01
80,5.503883957863e-02
81,6.492233276367e-02
82,7.865312695503e-02
83,6.352999806404e-02
84,7.323074340820e-02
85,7.403262704611e-02
86,8.205816894770e-02
87,9.435003995895e-02
88,5.021077394485e-02
89,1.070357114077e-01
90,6.611374020576e-02
91,5.619144439697e-02
92,5.461515486240e-02
93,8.882600069046e-02
94,8.471260219812e-02
95,9.031111747026e-02
96,4.885609447956e-02
97,5.692119151354e-02
98,8.841875195503e-02
99,4.947739839554e-02
100,6.713020801544e-02
