sample_index,mismatch
1,2.717957831919e-04
2,1.173168420792e-04
3,2.081319689751e-04
4,8.523487485945e-05
5,3.578215837479e-04
6,2.386530395597e-04
7,3.311797045171e-04
8,2.457946538925e-04
9,2.412779722363e-04
10,2.062192652375e-04
11,1.464039087296e-04
12,2.901565749198e-04
13,3.285109996796e-04
14,2.689438406378e-04
15,1.742839813232e-04
16,1.328140497208e-04
17,3.649836871773e-04
18,1.497268676758e-04
19,4.108066204935e-04
20,2.188682556152e-04
21,9.347498416901e-05
22,1.916289329529e-04
23,2.632439136505e-04
24,1.245886087418e-04
25,4.603450652212e-04
26,3.249449655414e-04
27,2.470016479492e-04
28,2.641675528139e-04
29,1.254379749298e-04
30,2.465248107910e-04
31,3.499984741211e-04
32,1.482889056206e-04
33,4.074252210557e-04
34,3.745828289539e-04
35,2.578496932983e-04
36,3.013610839844e-04
37,3.542900085449e-04
38,2.141147851944e-04
39,2.136169932783e-04
40,2.756118774414e-04
41,1.598598901182e-04
42,3.976856824011e-04
43,4.914011806250e-04
44,5.075996741652e-04
45,5.195026751608e-04
46,4.649085458368e-04
47,3.168729599565e-04
48,3.125667572021e-04
49,2.086162567139e-04
50,4.434143193066e-04
51,1.270771026611e-04
52,1.251699868590e-04
53,2.509504556656e-04
54,2.136081457138e-04
55,6.724703125656e-04
56,3.028002101928e-04
57,4.682189319283e-04
58,2.255169674754e-04
59,3.287792205811e-04
60,2.284646034241e-04
61,6.079673767090e-04
62,2.786747645587e-04
63,3.652521409094e-04
64,5.709992256016e-04
65,3.402228467166e-04
66,4.940051585436e-04
67,2.543951850384e-04
68,5.932343192399e-04
69,2.865493297577e-04
70,3.369827754796e-04
71,1.408904790878e-04
72,1.199240796268e-04
73,1.559183001518e-04
74,1.880973577499e-04
75,1.882910728455e-04
76,9.799003601074e-05
77,4.558572545648e-04
78,4.553645849228e-04
79,2.079308032990e-04
80,1.459121704102e-04
81,5.364431999624e-04
82,5.749179981649e-04
83,7.405360229313e-04
84,4.412860143930e-04
85,4.649353213608e-04
86,3.261566162109e-04
87,2.918392419815e-04
88,2.276897430420e-04
89,5.896105431020e-04
90,4.346286877990e-04
91,2.101808786392e-04
92,1.690387725830e-04
93,7.233382202685e-04
94,1.268535852432e-04
95,2.842247486115e-04
96,1.951362937689e-04
97,1.292228698730e-04
98,4.880242049694e-04
99,4.901760257781e-04
100,2.965927124023e-04
