sample_index,mismatch
1,9.481791406870e-03
2,7.628703489900e-03
3,5.774818360806e-03
4,1.122930645943e-02
5,1.746177673340e-02
6,8.507885038853e-03
7,2.806028723717e-02
8,1.468687318265e-02
9,1.398314535618e-02
10,1.352205127478e-02
11,3.676381707191e-02
12,1.228736341000e-02
13,1.400330662727e-02
14,1.276331953704e-02
15,1.382748782635e-02
16,1.891549862921e-02
17,1.270008087158e-02
18,2.711230516434e-02
19,2.307863906026e-02
20,9.017111733556e-03
21,9.590025991201e-03
22,1.011345162988e-02
23,7.356353104115e-03
24,2.260394021869e-02
25,2.406585030258e-02
26,5.175805650651e-03
27,1.462576910853e-02
28,1.715457439423e-02
29,3.292130678892e-02
30,1.225630007684e-02
31,1.987469568849e-02
32,2.140566520393e-02
33,9.531059302390e-03
34,2.842198498547e-02
35,9.806267917156e-03
36,2.777248620987e-02
37,1.227831840515e-02
38,2.344929985702e-02
39,1.684171333909e-02
40,1.973557099700e-02
41,1.235565356910e-02
42,1.280252449214e-02
43,1.302909851074e-02
44,1.277501136065e-02
45,2.459534630179e-02
46,1.965656876564e-02
47,1.244163513184e-02
48,2.096034586430e-02
49,9.255845099688e-03
50,1.265192031860e-02
51,2.162885665894e-02
52,1.887178421021e-02
53,1.988610625267e-02
54,1.708947494626e-02
55,1.302242279053e-02
56,2.210292220116e-02
57,1.855870708823e-02
58,9.686348028481e-03
59,1.452489569783e-02
60,1.612439379096e-02
61,1.527535915375e-02
62,2.671462297440e-02
63,2.170208096504e-02
64,1.764153502882e-02
65,2.601311728358e-02
66,1.413896307349e-02
67,1.284191012383e-02
68,2.821844816208e-02
69,1.372200250626e-02
70,1.958525180817e-02
71,2.114748954773e-02
72,2.900692075491e-02
73,1.654049754143e-02
74,2.498912811279e-02
75,1.647201180458e-02
76,1.427882909775e-02
77,1.281045377254e-02
78,1.824954152107e-02
79,1.953721046448e-02
80,1.397323980927e-02
81,2.828151732683e-02
82,1.132321357727e-02
83,1.677464321256e-02
84,1.321917772293e-02
85,2.402082644403e-02
86,1.627010107040e-02
87,9.804591536522e-03
88,1.360309123993e-02
89,1.880494877696e-02
90,3.631994873285e-02
91,1.614692807198e-02
92,1.963391900063e-02
93,3.208249434829e-02
94,2.612211555243e-02
95,1.022566296160e-02
96,2.598768472672e-02
97,1.997330412269e-02
98,3.122103214264e-02
99,1.801733672619e-02
100,2.030996605754e-02
